Sculthorpe Peter
Searle Ronald
Sedlacek Franz
Sedlar Janek
Semenov Anton
Sendak Maurice
Serafini Luigi
Serebriakova Zinaida
Serov Valentin
Seurat Georges
Seuss Dr.
Shaden Brooke
Shahn Ben
Shaw Barclay
Shepard E. H.
Sherman Cindy
Shields Tyler
Shimoda Hikari
Shinkai Makoto
Shinkawa Yoji
Shinkhai Makoto
Shinn Everett
Shiota Chiharu
Shirow Masamune
Shishkin Ivan
Shoen Uemura
Shore Stephen
Shumate Tim
Shuster Joe
Sieff Jeanloup
Siegel Jerry
Sienkiewicz Bill
Sillman Amy
Simkins Greg
Simon Bisley
Simonetti Marc
Skoglund Sandy
Slaby Reylia
Sloan John French
Sloan Kevin
Smilde Berndnaut
Smith Adrian
Smith Barry Windsor
Smith Douglas
Smith Grace Cossington
Smith Jeffrey
Smith Jessie Willcox
Smith Pamela Coleman
Smith Pamela Colman
Snyder Zack
Solomon Simeon
Sorayama Hajime
Sorolla Joaquín
Sottsass Ettore
Soudain Annie
Soutine Chaïm
Sowa Michael
Spare Austin Osman
Sparth
Spencelayh Charles
Spiegelman Art
Spoor Nathan
Spriggs David
Stalenhag Simon
Stanisław Szukalski
Steadman Ralph
Steer Philip Wilson
Stegman Ryan
Steichen Edward
Steig William
Stelfreeze Brian
Stella Frank
Stella Joseph
Stern Irma
Sternfeld Joel
Sterrett Virginia Frances
Stevenson Noelle
Stillman Marie Spartali
Stivers Robert
Stokes Anne
Stokoe James
Stout William
Strand Paul
Streeton Arthur
Stubbs George
Suarez Tatiana
Sugimori Ken
Sugimoto Hiroshi
Sultan Larry
Sum Brian
Sutherland Graham
Suuronen Matti
Swanland Raymond
Swynnerton Annie
Sydney Prior Hall
Szukalski Stanisław
Takahashi Rumiko
Takeuchi Naoko
Tamaki Jillian
Tamayo Rufino
Tan Shaun
Tanguay Yves
Tanguy Yves
Tanner Henry Ossawa
Tanning Dorothea
Tartakovsky Genndy
Ted Nasmith
Telgemeier Raina
Teller Juergen
Templesmith Ben
Teniers the Younger David
Tezuka Osamu
Theurer Heather
Thole Karel
Thomas Kinkade
Thomas Mickalene
Thomson Tom
Thorburn Archibald
Thorgerson Storm
Tice George
Tichenor Bridget Bate
Tiffany Louis Comfort
Timm Bruce
Tintoretto
Tissot James
Titian
Tito Ettore
Tom Thomson
Tomine Adrian
Tomino Yoshiyuki
Tooker George
Toriyama Akira
Toth Alex
Toussaint Fernand
Tran Ross
Traquair Phoebe Anna
Treacy Philip
Trotter Kathryn Morris
Trouille Clovis
Truitt Anne
Turner J.M.W.
Turner Pete
Turrell James
Uhlig Daniela
Uminga Chris
Uno Aquirax
Urasawa Naoki
Utamaro Kitagawa
Vacher Christophe
Valentine Hugo
Vallejo Boris
Valsecchi Olivier
Van Allsburg Chris
Van Gogh Vincent
Van Sciver Ethan
Van de Woestijne Gustave
Van den Berghe Frits
Varo Remedios
Vasnetsov Viktor
Vaughan Brian K.
Veeber Kuno
Velázquez Diego
Venanzi Giovanni Battista
Vermeer Johannes
Vernet Horace
Veronese Paolo
Vess Charles
Victo Ngai
Vigée Le Brun Élisabeth
Vincent Di Fate
Vingent van Gogh
Viola Bill
Vishniac Roman
Vonnoh Robert
Voss Johannes
Vroom Hendrick Cornelisz
Vrubel Mikhail
Wain Louis
Walala Camille
Wall Jeff
Wall Josephine
Wallis Karen
